code,date,close,high,low,max_price,rsi,rsi_var,trade_type,now_buy_sell,pre_middle_date,mid_step,common_buy_boll_days,common_sell_boll_days,sp_boll_days,principal,stock_num,add_flag,add_principal,delay_buy,low_rsi,win_stop
600073.SH,20221114,7.52,7.59,7.47,7.52,77.2821,0.0,0,-1,,0,0,0,0,0.0,15322.0,0,0.0,False,0,False
600073.SH,20221115,7.51,7.57,7.44,7.52,75.093,-0.0283,0,-1,,0,0,0,0,0.0,15322.0,0,0.0,False,0,False
600073.SH,20221116,7.5,7.55,7.49,7.52,72.6243,-0.0329,0,-1,,0,0,0,0,0.0,15322.0,0,0.0,False,0,False
600073.SH,20221117,7.58,7.62,7.48,7.58,79.1914,0.0904,2,-1,20221117,1,0,0,0,0.0,30644.0,0,116140.76,False,0,False
600073.SH,20221118,7.54,7.61,7.53,7.58,69.2273,-0.1258,0,-1,20221117,1,0,0,0,0.0,30644.0,0,0.0,False,0,False
600073.SH,20221121,7.53,7.55,7.4,7.58,66.7092,-0.0364,0,-1,20221117,1,0,0,0,0.0,30644.0,0,0.0,False,0,False
600073.SH,20221122,7.49,7.59,7.45,7.58,56.7934,-0.1486,0,-1,20221117,1,0,0,0,0.0,30644.0,0,0.0,False,0,False
600073.SH,20221123,7.42,7.52,7.4,7.58,43.2827,-0.2379,0,-1,,0,0,0,0,0.0,30644.0,0,0.0,False,0,False
600073.SH,20221124,7.43,7.48,7.36,7.58,45.5051,0.0513,0,-1,,0,0,0,0,0.0,30644.0,0,0.0,False,0,False
600073.SH,20221125,7.45,7.49,7.39,7.45,50.1893,0.1029,2,-1,20221125,1,0,0,0,0.0,61288.0,0,228297.8,False,0,False
600073.SH,20221128,7.51,7.53,7.31,7.51,61.9605,0.2345,0,-1,20221125,1,0,0,0,0.0,61288.0,0,0.0,False,0,False
600073.SH,20221129,7.65,7.68,7.48,7.65,77.1079,0.2445,0,-1,20221125,1,0,0,0,0.0,61288.0,0,0.0,False,0,False
600073.SH,20221130,7.63,7.77,7.62,7.65,72.1806,-0.0639,0,-1,20221125,1,0,1,1,0.0,61288.0,0,0.0,False,0,False
600073.SH,20221201,7.73,7.8,7.7,7.73,79.8907,0.1068,0,-1,,0,0,0,2,0.0,61288.0,0,0.0,False,0,False
600073.SH,20221202,7.8,7.84,7.72,7.8,83.6881,0.0475,2,-1,20221202,1,0,1,3,0.0,122576.0,0,478046.4,False,0,False
600073.SH,20221205,7.84,7.94,7.75,7.84,85.5582,0.0223,0,-1,20221202,1,0,0,1,0.0,122576.0,0,0.0,False,0,False
600073.SH,20221206,7.86,7.93,7.78,7.86,86.4877,0.0109,0,-1,20221202,1,0,1,2,0.0,122576.0,0,0.0,False,0,False
600073.SH,20221207,7.94,7.97,7.8,7.94,89.6768,0.0369,0,-1,20221202,1,0,0,3,0.0,122576.0,0,0.0,False,0,False
600073.SH,20221208,7.81,7.93,7.8,7.94,61.4127,-0.3152,-1,1,,0,0,0,1,957318.56,0.0,0,0.0,False,0,False
600073.SH,20221209,7.87,7.87,7.64,7.87,67.1475,0.0934,1,-1,20221209,1,0,0,2,3.8899999998975545,121641.0,0,0.0,False,0,False
600073.SH,20221212,7.73,7.91,7.69,7.87,47.4162,-0.2939,0,-1,20221209,1,0,0,3,3.8899999998975545,121641.0,0,0.0,False,0,False
600073.SH,20221213,7.94,7.99,7.69,7.94,65.6074,0.3836,0,-1,20221209,1,0,0,0,3.8899999998975545,121641.0,0,0.0,False,0,False
600073.SH,20221214,7.99,8.04,7.84,7.99,68.7011,0.0472,0,-1,20221209,1,0,0,0,3.8899999998975545,121641.0,0,0.0,False,0,False
600073.SH,20221215,7.86,8.01,7.82,7.99,53.6456,-0.2191,0,-1,,0,0,0,0,3.8899999998975545,121641.0,0,0.0,False,0,False
600073.SH,20221216,7.89,7.92,7.79,7.89,56.2977,0.0494,2,-1,20221216,1,0,0,0,0.0,243282.0,0,959743.6,False,0,False
600073.SH,20221219,7.78,7.95,7.7,7.89,44.9755,-0.2011,-2,-1,20221219,-2,0,0,0,946366.98,121641.0,0,0.0,False,0,False
600073.SH,20221220,7.61,7.79,7.59,7.89,32.7577,-0.2717,0,-1,20221219,-2,0,0,0,946366.98,121641.0,0,0.0,False,0,False
600073.SH,20221221,7.83,7.94,7.56,7.83,52.7083,0.609,2,-1,20221221,3,0,0,0,0.0,243282.0,0,6082.050000000047,False,0,False
600073.SH,20221222,7.83,8.04,7.8,7.83,52.7083,0.0,0,-1,20221221,3,0,0,0,0.0,243282.0,0,0.0,False,0,False
600073.SH,20221223,7.93,8.01,7.72,7.93,60.3989,0.1459,0,-1,20221221,3,0,0,0,0.0,243282.0,0,0.0,False,0,False
600073.SH,20221226,7.74,7.96,7.7,7.93,44.0619,-0.2705,-2,-1,20221226,-4,0,0,0,941501.34,121641.0,0,0.0,False,0,False
600073.SH,20221227,7.89,7.93,7.67,7.93,55.4721,0.259,0,-1,20221226,-4,0,0,0,941501.34,121641.0,0,0.0,False,0,False
600073.SH,20221228,7.79,7.96,7.72,7.93,47.6899,-0.1403,0,-1,20221226,-4,0,0,0,941501.34,121641.0,0,0.0,False,0,False
600073.SH,20221229,7.77,7.82,7.62,7.93,46.1365,-0.0326,0,-1,20221226,-4,1,0,-1,941501.34,121641.0,0,0.0,False,0,False
600073.SH,20221230,7.95,8.0,7.65,7.95,60.1539,0.3038,0,-1,,0,0,0,0,941501.34,121641.0,0,0.0,False,0,False
600073.SH,20230103,7.85,8.02,7.83,7.95,51.2606,-0.1478,-1,1,20230103,-1,0,0,1,1896383.19,0.0,0,0.0,False,0,False
600073.SH,20230104,8.17,8.58,7.77,8.17,68.9106,0.3443,1,-1,20230104,2,0,1,2,3.6399999998975545,232115.0,0,0.0,False,0,False
600073.SH,20230105,8.1,8.2,8.01,8.17,62.9286,-0.0868,0,-1,20230104,2,0,0,3,3.6399999998975545,232115.0,0,0.0,False,0,False
600073.SH,20230106,7.85,8.13,7.82,8.17,45.8653,-0.2712,-1,1,20230106,-3,0,0,0,1822106.39,0.0,0,0.0,False,0,False
600073.SH,20230109,7.83,7.91,7.76,7.83,44.7017,-0.0254,0,1,20230106,-3,0,0,0,1822106.39,0.0,0,0.0,False,0,False
600073.SH,20230110,7.76,7.86,7.74,7.76,40.3971,-0.0963,0,1,20230106,-3,0,0,0,1822106.39,0.0,0,0.0,False,0,False
600073.SH,20230111,7.73,7.82,7.71,7.73,38.491,-0.0472,0,1,20230106,-3,0,0,0,1822106.39,0.0,0,0.0,False,0,False
600073.SH,20230112,7.74,7.77,7.59,7.74,39.6304,0.0296,0,1,,0,1,0,-1,1822106.39,0.0,0,0.0,False,0,False
600073.SH,20230113,8.13,8.48,7.69,8.13,67.6643,0.7074,1,-1,20230113,1,0,1,0,2.6599999996833503,224121.0,0,0.0,False,0,False
600073.SH,20230116,8.2,8.27,8.02,8.2,70.6044,0.0435,0,-1,20230113,1,0,0,1,2.6599999996833503,224121.0,0,0.0,False,0,False
600073.SH,20230117,8.01,8.17,7.98,8.2,54.4722,-0.2285,0,-1,20230113,1,0,0,2,2.6599999996833503,224121.0,0,0.0,False,0,False
600073.SH,20230118,8.0,8.06,7.97,8.2,53.6974,-0.0142,0,-1,20230113,1,0,0,3,2.6599999996833503,224121.0,0,0.0,False,0,False
